data_id	Project Title	Start Year	End Year	ISO3 Code	Region	Country	Client/ Donor	M&E	Public Financial Management and Fiscal Sustainability	Brief Description	Point of contact	Email	Phone	Is Current Project? (true/false)	Practice Area	projects_slug	Prime	Contract Value USD	Contract Number	Sub	Education, Gender, and Youth Development	Knowledge Management and Data Analytics	Link	Security, Transparency, and Governance	Document Title	Energy and Environment	Subcontract Number/Order Number/Grant Number	Link to the document file
82	National Education Program Review	1998	1998	GTM	Latin America and the Caribbean	Guatemala	USAID/Washington	x		For the Ministry of Education of Guatemala, DevTech developed a negotiated proposal for restructuring the Ministry to ensure that bilingual/inter-cultural education is an integral part of the national education program, as mandated by the Peace Accords. The proposal was well-received by officials at all levels of the Ministry and will be implemented over the next several years.				No	Monitoring and Evaluation~Education, Gender and Youth	National-Education-Program-Rev	x				x							
83	Strengthening Citizen Participation	1998	1998	ARG, BRA	Latin America and the Caribbean	Argentina, Brazil	U.S. Information Agency			DevTech was contracted to provide training on fund raising and project development to more than 300 NGOs in Argentina and Brazil. DevTech designed fund-raising training manuals in Spanish and Portuguese; carried out hands-on workshops for 490 NGO representatives in four cities; addressed procurement of public, corporate, foundation, and multilateral institutional funding; provided instruction on resource development research; taught project and proposal development; and provided resource leveraging advice to government agencies in both countries.	Patricia Garcia		(202) 458-3978	No	Education, Gender and Youth	Strengthening-Citizen-Particip	x	3000.00	PADF001		x							
84	Pricing Strategy Development	1998	1998	USA	North America	USA	International Trade Administration	x			Deborah Truitt		(703) 917-2920	No	Monitoring and Evaluation	Pricing-Strategy-Development	Booz Allen Hamilton, Inc	24136.00	30318-CV-202	x								
85	The Role of Municipalities in the Reconstruction of Honduras	1999	1999	HND	Latin America and the Caribbean	Honduras	USAID	x	x	DevTech provided the services of a fiscal adviser to assist in a technical study that examined both the short and long-term impact of Hurricane Mitch on the finances of municipalities in Honduras. The fiscal adviser was responsible for developing those parts of the overall assessment that were specifically and generally related to the intergovernmental fiscal relations between central and local government. Specific duties included:>Reviewing the overall state of the budget of the Honduran central government;>Reviewing the transfers and other intergovernmental fiscal relations between central and local government;>Participating in the review of municipal government finances;>Participating in the projections of municipal government financing needs;>Leading the assessment of the central government's future abilities to assist the municipalities in meeting the financial needs;>Suggesting means for alleviating financing gaps; and>Participating in making suggestions with regard to donor flows to and through central and local governments.	front Desk	customerservices@icma.org	202-289-4262	No	Monitoring and Evaluation~Public Financial Management and Fiscal Sustainability	The-Role-of-Municipalities-in	ICMA	20337.00	PCE-C-00-95-00001-00	x			http://pdf.usaid.gov/pdf_docs/pbaab494.pdf		The role of municipalities in the reconstruction of Honduras: an assesment of the impact of Hurricane Mitch			
86	Addressing Cuban Affairs	1999	1999	CUB	Latin America and the Caribbean	Cuba	U.S. Information Agency			DevTech led a weekly radio broadcast addressing economic reform and citizen participation issues in former communist countries and how those transitions in governments relate to Cuba's future.				No	Security, Transparency, and Governance	Addressing-Cuban-Affairs				x				x				
87	Decentralization and Local Development in Latin America and the Caribbean	1999	1999		Latin America and the Caribbean		USAID			DevTech prepared a paper on decentralization and local development in Latin America and the Caribbean focusing on past successes and outlining a future strategy for incorporating municipalities in the post-Hurricane Mitch reconstruction and transformation. The paper was presented at the USAID Donor Consultative Group Meeting on Latin America and the Caribbean in Stockholm, Sweden in May 1999.				No	Knowledge Management and Data Analytics	Decentralization-and-Local-Dev	x		GS10F-0048L			x						
88	Measuring Cuban public opinion: project report	1999	1999	CUB	Latin America and the Caribbean	Cuba	USAID	x		This study uses as a surrogate for Cubans on the island Cuban emigres who have been in theUnited States for only a short period of time. In an attempt to match the characteristics of theCuban population, the data were weighted according to age, gender, race, and place of residencyin Cuba. In addition, the questionnaire included a series of issues which tapped not only whatthe respondent thought in relation to the issue, but also what the views of other Cubans would be,including supporters of the regime. By making explicit a separate request for the points of viewsof others, as distinct from their own, interviewers were able to obtain both the opinions of Cubanemigres and the perceived opinions of other segments of the society. Over a period of severalmonths, December 1998 to April 1999, interviews were obtained from 1023 persons.	office	eads@usaid.gov	(202) 712-4810	No	Monitoring and Evaluation~Knowledge Management and Data Analytics	Measuring-Cuban-public-opinion	x	10000.00	LAG-G-00-98-00021-00	U of Florida, FIU		x	http://pdf.usaid.gov/pdf_docs/Pnacj014.pdf		Measuring Cuban Public Opinion: Project Report			
89	Poverty Reduction and Fiscal Decentralization	2000	2000	KGZ	Asia	Kyrgyzstan	Asian Development Bank		x	DevTech provided expertise to the government of Kyrgyzstan in its effort to decentralize its fiscal system. DevTech analyzed the national and provincial budgets, subsidies, taxes and social funds. DevTech also studied the effectiveness of the existing subsidized programs and evaluated the intra-regional transfers, as well as the transparency of the subsidies and the techniques used to select public investments. DevTech compiled the information, designed a survey, and organized the implementation of the survey and analysis of the data. DevTech issued recommendations to the government of Kyrgyzstan on the priorities that should be considered in reducing poverty.	Tsukasa Maekawa	tmaekawa@adb.org	(632) 632-4444	No	Public Financial Management and Fiscal Sustainability~Security, Transparency, and Governance	Poverty-Reduction-and-Fiscal-D	x	79500.00	TAR: KGZ 34107					x				
90	SEGIR/GBTI Global Technology Network	2000	2001		Global	Global	USAID		x	Support the Global Technology Network and maintain trade leads for small and medium sized exporters. These exporters come from a variety of fields such as technological products in environment health, agriculture, and other fields.				No	Energy and Environment~Public Financial Management and Fiscal Sustainability~Knowledge Management and Data Analytics	SEGIRGBTI-Global-Technology-N	x	137275.00	PCE-I-00-98-00015-00			x				x		
91	Evaluation IQC: Evaluation Studies of USAID Development Programs	2000	2005		Global	Global	USAID							No		Evaluation-IQC:-Evaluation-Stu	x		AEP-I-00-00-00022-00									
92	Institutional Reform and Restructure of the Regional Administration of the National Authority of the Environment of the Government of Panama	2000	2000	PAN	Latin America and the Caribbean	Panama	Inter-American Development Bank	x		DevTech provided assistance to Panama's environmental protection agency that involved conducting a complete organizational restructuring and strengthening the agency. ANAM launched an environmental action program in the Darien region aimed at recuperating and protecting its natural resources and improving the quality of life of the people in a manner consistent with the sustainability of its resources. DevTech provided technical assistance in the following activities:>Organizational analysis of ANAM, including procedures and responsibilities of the central and regional offices; contracting methods and personnel procedures and functions; and staff training activities;>Preparation of an administrative procedures manual; development of contracting rules and guidelines; and design of an institutional support project; and>Recommendations for management and control procedures, identification of roles and responsibilities of the regional and central offices, hiring and deployment of personnel and the reassignment of functions and shifts, and the job profiles of new ANAM personnel as well as the personnel training costs and corresponding budgets.	Office Government of Panama	cestrategia@spi.gob.pa	(507) 527-9600	No	Monitoring and Evaluation~Energy and Environment	Institutional-Reform-and-Restr		32450.00								x		
93	Honduras Vocational and Technical Training Centers	2000	2002	HND	Latin America and the Caribbean	Honduras	USAID			DevTech supported USAID/Honduras in meeting the critical need to reconstruct the educational facilities that were destroyed by Hurricane Mitch. DevTech provided the Mission with technical assistance in establishing and strengthening vocational centers and improving the overall quality of the training. Activities included:>Negotiating and managing grants to NGOs operating the vocational training centers;>Overseeing the construction and expansion of the centers;>Strengthening the financial viability of the centers;>Establishing and/or improving certification programs within the centers;>Improving the quality of the training and the materials;>Enforcing quality control efforts;>Developing and implementing operational models designed to support the formation of small service businesses and enterprises for graduates; and>Developing policies and a pilot program for reforming public secondary-level vocational-technical education to increase relevancy, quality, cost-effectiveness, and equity.	Diane Leach	dleach@usaid.gov	(504) 236-932	No	Education, Gender and Youth	Honduras-Vocational-and-Techni	x	10094735.00	522-C-00-00-00243-00		x		https://dec.usaid.gov/dec/content/Detail.aspx?q=KERvY3VtZW50cy5JbnN0aXR1dGlvbl9vcl9VU0FJRF9CdXJlYXVfQXV0aG9yOigoIjAwNTkzMSAtIERldmVsb3BtZW50IFRlY2hub2xvZ2llcywgSW5jLiAoRGV2VGVjaCkiKSBPUiAoIjAwOTA1NCAtIERldlRlY2ggU3lzdGVtcywgSW5jLiIpKSk=&ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjcwNjE5&qcf=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&ph=VHJ1ZQ==&bckToL=VHJ1ZQ==&		Vocational Technical Education project--USAID/Honduras			
94	The Future of Education in the Dominican Republic: Opportunities and Challenges	2000	2000	DOM	Latin America and the Caribbean	Dominican Republic	USAID	x		Instead of an evaluation of the PDE, the work was conducted as an analysis of the evolutionof the PDE to identify its achievements and strengths as well as its shortfalls and weaknessesand apply this experience in the design and implementation of future actions. The focus onthe PDE is a methodological recourse that allows a great deal of specificity in the analysis ofthe contributing factors and obstacles encountered in the implementation of the PDE and theformulation of implications and recommendations, thus avoiding generalities of little or novalue for future policy choices. In the end, however, we believe our contribution should notbe limited to an evaluation of the PDE as process. Thus, while we use an analysis of the PDEas a methodological recourse, and we do make certain “process” suggestions, we also makesome recommendations regarding the substantive nature of the reforms that are needed.In order to carry out a profound analysis of the roots of the educational problems that havebeen affecting the Dominican Republic for many years, we applied an eclectic methodologicalapproach that combines traditional empirical analysis with personal accounts of the mostimportant events and conditions. Without the latter element of investigation, albeit informal,we would fall into the trap of a superficial and perfunctory analysis, leaving some criticallyrelevant issues out of the picture simply because they could be controversial, a practice notacceptable in DevTech’s consulting ethics. Unfortunately, the history of public education inDominican Republic is plagued by decisions and activities that are not entirely transparent tothe general public and are conveniently omitted from the analysis of the pusillanimousinvestigator.				No	Monitoring and Evaluation~Education, Gender and Youth	The-Future-of-Education-in-the	x		517-C-00-00-00143-0		x		https://dec.usaid.gov/dec/content/Detail.aspx?q=KERvY3VtZW50cy5JbnN0aXR1dGlvbl9vcl9VU0FJRF9CdXJlYXVfQXV0aG9yOigoIjAwNTkzMSAtIERldmVsb3BtZW50IFRlY2hub2xvZ2llcywgSW5jLiAoRGV2VGVjaCkiKSBPUiAoIjAwOTA1NCAtIERldlRlY2ggU3lzdGVtcywgSW5jLiIpKSk=&ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjY2MTM4&qcf=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&ph=VHJ1ZQ==&bckToL=VHJ1ZQ==&		The future of education in Dominican Republic: Opportunities and Challenges			
95	Logistical Support in Stability Pact Countries	2001	2002	HAE, BGR, HRV, MKD, BIH, ALB	Europe and Eurasia	Hungary, Bulgaria, Croatia, Macedonia, Bosnia, Albania	Federal Trade Commission			DevTech provided administrative support (interpreters and translators) and logistical assistance to United States Government personnel while in Stability Pact countries in Southeast Europe other than Romania. The countries included Hungary, Bulgaria, Croatia, Macedonia, Bosnia, and Albania.	Office of Policy and Coordination	antitrust@ftc.gov	(202) 326-3300	No	Education, Gender and Youth	Logistical-Support-in-Stabilit	x				x							
